"PMID","title","authors","year","preregistration","sample_size","setting","modality","meeg_num_electrodes","meeg_layout","eeg_locations","length_min","ecg_num_electrodes","ecg_lead","ecg_locations","ecg_ground","reference_online","reference_offline","high_pass","low_pass","ICA","ica_on_epochs","rejected_components","rejected_cardiac_ics","cfa_rej_approach","cfa_rej_criteria","other_cfa_removal_strategy","other_cleaning_strategy","hep_channels_selected","groups","conditions","trials","hep_window_type","hep_relative_to","hep_start","hep_end","baseline_start_ms","baseline_end_ms","hypothesis","value","averaging_channels","averaging_time","statistics","clustering","permutations","significant_test","significant_channels","significant_relative_to","significant_start_ms","significant_end_ms","controls","trial_estimation","source","baseline_defined","method_category","method_numeric","has_resting","has_task","study_category","clean_noisy_epochs","clean_bad_channels","reject_cfa_ics","cfa_minimal_rr","cfa_use_minimal_rr","cfa_use_minimal_artifact_window","cfa_csd","cfa_regress","cfa_pca","cfa_subtract_rest","reference_category","baseline_category","determination_category","hep_approach","window_type_category","paper","trials_Mean","trials_SD","trials_original"
39048314,"When the heart meets the mind: Exploring the brain-heart interaction during time perception","Khoshnoud S, Leitritz D, Çinar Bozdağ M, Alvarez Igarzábal F, Noreika V, Wittmann M.",2024,0,30,"0","EEG",32,"standard32","Fp1, Fp2, F7, F3, Fz, F4, F8, FT9, FC5, FC1, FCz, FC2, FC6, FT10, T7, C3, Cz, C4, T8, TP9, CP5, CP1, CP2, CP6, TP10, P7, P3, Pz, P4, P8, O1, O2",NA,"2","Lead II","Right clavicle, Left abdomen","Left clavicle","Fz","Common average",1,70,"1","0","Blinks, Muscle, CFA, Eye Movements, Channel noise, Line noise, Other",NA,"Automatic","ICLabel","","Manual removal of artifacts, Sleppian filters or multi-tappers","FC1, Cz, FC2, Fz",1,6,"[est136]","Primary","R-peak",-200,600,-100,-50,"Group/Condition Differences","Amplitude","1","0","t-test","1",NA,"1","FC1, Cz, FC2, Fz","R-peak",130,520,"","est number of trials = number of actual trials (42) * 3 seconds within a trial to average HEP","pubmed","Yes","Clustering",0,FALSE,TRUE,"Task",FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","Yes","Both","Clustering","Both","Khoshnoud et al. (2024)",136,NA,NA
39048314,"When the heart meets the mind: Exploring the brain-heart interaction during time perception","Khoshnoud S, Leitritz D, Çinar Bozdağ M, Alvarez Igarzábal F, Noreika V, Wittmann M.",2024,0,30,"0","EEG",32,"standard32","Fp1, Fp2, F7, F3, Fz, F4, F8, FT9, FC5, FC1, FCz, FC2, FC6, FT10, T7, C3, Cz, C4, T8, TP9, CP5, CP1, CP2, CP6, TP10, P7, P3, Pz, P4, P8, O1, O2",NA,"2","Lead II","Right clavicle, Left abdomen","Left clavicle","Fz","Common average",1,70,"1","0","Blinks, Muscle, CFA, Eye Movements, Channel noise, Line noise, Other",NA,"Automatic","ICLabel","","Manual removal of artifacts, Sleppian filters or multi-tappers","FC1, Cz, FC2, Fz",1,6,"[est136]","Secondary","R-peak",470,520,-100,-50,"Correlation","Amplitude","1","1","Correlation","0",NA,"1","FC1, Cz, FC2, Fz","",NA,NA,"","est number of trials = number of actual trials (42) * 3 seconds within a trial to average HEP","pubmed","Yes","Averaging",1,FALSE,TRUE,"Task",FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","Yes","Both","Averaging","Both","Khoshnoud et al. (2024)",136,NA,NA
39048314,"When the heart meets the mind: Exploring the brain-heart interaction during time perception","Khoshnoud S, Leitritz D, Çinar Bozdağ M, Alvarez Igarzábal F, Noreika V, Wittmann M.",2024,0,30,"0","EEG",32,"standard32","Fp1, Fp2, F7, F3, Fz, F4, F8, FT9, FC5, FC1, FCz, FC2, FC6, FT10, T7, C3, Cz, C4, T8, TP9, CP5, CP1, CP2, CP6, TP10, P7, P3, Pz, P4, P8, O1, O2",NA,"2","Lead II","Right clavicle, Left abdomen","Left clavicle","Fz","Common average",1,70,"1","0","Blinks, Muscle, CFA, Eye Movements, Channel noise, Line noise, Other",NA,"Automatic","ICLabel","","Manual removal of artifacts, Sleppian filters or multi-tappers","FC1, Cz, FC2, Fz",1,6,"[est136]","Secondary","R-peak",130,270,-100,-50,"Correlation","Amplitude","1","1","Regression","0",NA,"1","FC1, Cz, FC2, Fz","",NA,NA,"","est number of trials = number of actual trials (42) * 3 seconds within a trial to average HEP","pubmed","Yes","Averaging",1,FALSE,TRUE,"Task",FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","Yes","Both","Averaging","Both","Khoshnoud et al. (2024)",136,NA,NA
39048314,"When the heart meets the mind: Exploring the brain-heart interaction during time perception","Khoshnoud S, Leitritz D, Çinar Bozdağ M, Alvarez Igarzábal F, Noreika V, Wittmann M.",2024,0,30,"0","EEG",32,"standard32","Fp1, Fp2, F7, F3, Fz, F4, F8, FT9, FC5, FC1, FCz, FC2, FC6, FT10, T7, C3, Cz, C4, T8, TP9, CP5, CP1, CP2, CP6, TP10, P7, P3, Pz, P4, P8, O1, O2",NA,"2","Lead II","Right clavicle, Left abdomen","Left clavicle","Fz","Common average",1,70,"1","0","Blinks, Muscle, CFA, Eye Movements, Channel noise, Line noise, Other",NA,"Automatic","ICLabel","","Manual removal of artifacts, Sleppian filters or multi-tappers","FC1, Cz, FC2, Fz",1,6,"[est136]","Secondary","R-peak",470,520,-100,-50,"Correlation","Amplitude","1","1","Regression","0",NA,"1","FC1, Cz, FC2, Fz","",NA,NA,"","est number of trials = number of actual trials (42) * 3 seconds within a trial to average HEP","pubmed","Yes","Averaging",1,FALSE,TRUE,"Task",FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","Yes","Both","Averaging","Both","Khoshnoud et al. (2024)",136,NA,NA
39035777,"Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.",2024,1,40,"0","EEG",23,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",3,"3","Multiple
leads","Right wrist, Left wrist, Left leg","3-lead","[C3 and C4]","Common average",0.16,30,"1","0","Eye movements, Blinks, Muscle",NA,"","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",1,2,"189","Primary","R-peak",200,650,NA,NA,"Group/Condition Differences","Amplitude","0","0","t-test","1",1000,"1","Fp1, F3, C3, F7, Fz","R-peak",530,560,"HR, rrHRV, RMSSD, ECG","","pubmed","No","Clustering",0,TRUE,TRUE,"Both",TRUE,FALSE,FALSE,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","No","Both","Clustering","Both","Stoupi et al. (2024)",189,NA,189
39035777,"Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.",2024,1,40,"0","EEG",23,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",3,"3","Multiple
leads","Right wrist, Left wrist, Left leg","3-lead","[C3 and C4]","Common average",0.16,30,"1","0","Eye movements, Blinks, Muscle",NA,"","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","Fp1, F3, C3, F7, Fz",1,2,"189","Secondary","R-peak",530,560,NA,NA,"Group/Condition Differences","Amplitude","1","1","t-test","0",NA,"1","Fp1, F3, C3, F7, Fz","",NA,NA,"","","pubmed","No","Averaging",1,TRUE,TRUE,"Both",TRUE,FALSE,FALSE,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","No","Both","Averaging","Both","Stoupi et al. (2024)",189,NA,189
39035777,"Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.",2024,1,76,"1","EEG",23,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",3,"3","Multiple
leads","Right wrist, Left wrist, Left leg","3-lead","[C3 and C4]","Common average",0.16,30,"1","0","Eye movements, Blinks, Muscle",NA,"","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",2,1,"180","Primary","R-peak",200,650,NA,NA,"Group/Condition Differences","Amplitude","0","0","t-test","1",1000,"1","P3, O1, O2, T3, T5, Pz, T9","R-peak",310,365,"HR, rrHRV, RMSSD, ECG","","pubmed","No","Clustering",0,TRUE,TRUE,"Both",TRUE,FALSE,FALSE,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","No","Both","Clustering","Both","Stoupi et al. (2024)",180,NA,180
39035777,"Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.",2024,1,76,"1","EEG",23,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",3,"3","Multiple
leads","Right wrist, Left wrist, Left leg","3-lead","[C3 and C4]","Common average",0.16,30,"1","0","Eye movements, Blinks, Muscle",NA,"","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","P3, O1, O2, T3, T5, Pz, T9",2,1,"180","Secondary","R-peak",310,365,NA,NA,"Group/Condition Differences","Amplitude","1","1","t-test","0",NA,"1","P3, O1, O2, T3, T5, Pz, T9","",NA,NA,"","","pubmed","No","Averaging",1,TRUE,TRUE,"Both",TRUE,FALSE,FALSE,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","No","Both","Averaging","Both","Stoupi et al. (2024)",180,NA,180
39035777,"Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.",2024,1,76,"1","EEG",23,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",3,"3","Multiple
leads","Right wrist, Left wrist, Left leg","3-lead","[C3 and C4]","Common average",0.16,30,"1","0","Eye movements, Blinks, Muscle",NA,"","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",2,1,"192","Primary","R-peak",200,650,NA,NA,"Group/Condition Differences","Amplitude","0","0","t-test","1",1000,"1","F8, T4, T6, T10, C3, P3, O1, T3, T5, Pz, T9","R-peak",280,360,"HR, rrHRV, RMSSD, ECG","","pubmed","No","Clustering",0,TRUE,TRUE,"Both",TRUE,FALSE,FALSE,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","No","Both","Clustering","Both","Stoupi et al. (2024)",192,NA,192
39035777,"Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.",2024,1,76,"1","EEG",23,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, T3, C3, Cz, C4, T4, T5, P3, Pz, P4, T6, O1, O2, A1, A2, T9, T10",3,"3","Multiple
leads","Right wrist, Left wrist, Left leg","3-lead","[C3 and C4]","Common average",0.16,30,"1","0","Eye movements, Blinks, Muscle",NA,"","","RR at least 700 ms","Artifact Subspace Reconstruction (ASR), noisy epochs","F8, T4, T6, T10",2,1,"192","Secondary","R-peak",280,305,NA,NA,"Group/Condition Differences","Amplitude","1","1","t-test","0",NA,"1","F8, T4, T6, T10","",NA,NA,"","","pubmed","No","Averaging",1,TRUE,TRUE,"Both",TRUE,FALSE,FALSE,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"R-peak","No","Both","Averaging","Both","Stoupi et al. (2024)",192,NA,192
