"PMID","DOI","include","comment","title","authors","citation","year","preregistration","sample_size","setting","modality","meeg_num_electrodes","meeg_layout","eeg_locations","length_min","ecg_num_electrodes","ecg_lead","ecg_locations","ecg_ground","reference_online","reference_offline","high_pass","low_pass","ICA","ica_on_epochs","rejected_components","rejected_cardiac_ics","cfa_rej_approach","cfa_rej_criteria","other_cfa_removal_strategy","other_cleaning_strategy","hep_channels_selected","groups","conditions","trials","hep_window_type","hep_relative_to","hep_start","hep_end","baseline_start_ms","baseline_end_ms","hypothesis","value","averaging_channels","averaging_time","statistics","clustering","permutations","significant_test","significant_channels","significant_relative_to","significant_start_ms","significant_end_ms","controls","trial_estimation"
3793380,"10.3109/00207458608985677",1,"Consider","From the heart to the brain: a study of heartbeat contingent scalp potentials","Schandry R, Sparrer B, Weitkunat R.","Int J Neurosci. 1986 Nov;30(4):261-75. doi: 10.3109/00207458608985677.",1986,0,22,0,"EEG",3,"standard19","Fz, Cz, Pz",,2,"Lead II","Right clavicle, Left chest","Forehead","Linked mastoids","Linked mastoids","0.03","100",0,0,"",,"","","PCA on HEP","noisy epochs","Fz, Cz, Pz",2,4,"170","Primary","R-peak",200,300,"-100","-25","Group/Condition Differences","Latency",0,0,"ANOVA",0,,"1","","",,,"ECG",""
3793380,"10.3109/00207458608985677",,"","From the heart to the brain: a study of heartbeat contingent scalp potentials","Schandry R, Sparrer B, Weitkunat R.","Int J Neurosci. 1986 Nov;30(4):261-75. doi: 10.3109/00207458608985677.",1986,0,22,0,"EEG",3,"standard19","Fz, Cz, Pz",,2,"Lead II","Right clavicle, Left chest","Forehead","Linked mastoids","Linked mastoids","0.03","100",0,0,"",,"","","PCA on HEP","noisy epochs","Fz, Cz, Pz",1,1,"170","Primary","R-peak",-100,600,"-100","-25","Correlation","Stability",0,0,"Correlation",0,,"1","","",,,"",""
9146492,"10.1016/s0013-4694(96)96506-2",1,"Consider","Cardiac field effects on the EEG","Dirlich G, Vogl L, Plaschke M, Strian F.","Electroencephalogr Clin Neurophysiol. 1997 Apr;102(4):307-15. doi: 10.1016/s0013-4694(96)96506-2.",1997,0,9,0,"EEG",26,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, A1, T3, C3, C4, T4, A2, T5, P3, Pz, P4, T6, O1, O2, Ad1, Ad2, Ad3, Ad4",60,6,"Multiple leads","Right wrist, Left leg, Right chest, Left chest, V4, Upper back","unknown","Cz","Cz","unknown","100",0,0,"",,"","","","Manual removal of artifacts, Gratton-Coles blink detection","All",1,1,"[est1346]","Primary","R-peak",-50,500,"unknown","unknown","Correlation","Amplitude",1,1,"Correlation",0,,"unknown","","",,,"ECG","est number of trials = 12120 for all participants / 9 participants"
9146492,"10.1016/s0013-4694(96)96506-2",,"","Cardiac field effects on the EEG","Dirlich G, Vogl L, Plaschke M, Strian F.","Electroencephalogr Clin Neurophysiol. 1997 Apr;102(4):307-15. doi: 10.1016/s0013-4694(96)96506-2.",1997,0,9,0,"EEG",26,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, A1, T3, C3, C4, T4, A2, T5, P3, Pz, P4, T6, O1, O2, Ad1, Ad2, Ad3, Ad4",60,6,"Multiple leads","Right wrist, Left leg, Right chest, Left chest, V4, Upper back","unknown","Cz","Cz","unknown","100",0,0,"",,"","","","Manual removal of artifacts, Gratton-Coles blink detection","All",1,1,"[est1346]","Primary","R-peak",-50,500,"unknown","unknown","Correlation","Amplitude",1,1,"Regression",0,,"unknown","","",,,"ECG","est number of trials = 12120 for all participants / 9 participants"
9607519,"10.1016/S0168-5597(98)00003-3",1,"Consider","Topography and morphology of heart action-related EEG potentials","G Dirlich, T Dietl, L Vogl, F Strian","Electroencephalography and Clinical Neurophysiology",1998,0,22,1,"EEG",26,"standard19","Fp1, Fp2, F7, F3, Fz, F4, F8, A1, T3, C3, C4, T4, A2, T5, P3, Pz, P4, T6, O1, O2, Ad1, Ad2, Ad3, Ad4",90,6,"Multiple leads","Right wrist, Left leg, Right chest, Left chest, V4, upper back","unknown","Cz","Linked earlobes","unknown","unknown",0,0,"",,"","","","Noisy Epochs","All",1,1,"2000","Primary","R-peak",350,480,"unknown","unknown","Group/Condition Differences","Amplitude",0,0,"Non-parametric comparison",0,,"1","T3, C3, C4, T4, F8, T5, P3, Pz, P4, T6, O1, O2","R-peak",350,480,"",""
,"",0,"Conference abstract","Preliminary data exploring the presence of an evoked potential associated with cardiac visceral activity","Jones, G.E., Leonberger, T.F., Rouse, C.H., Caldwell, J.A. and Jones, K.R.","Psychophysiology",1986,,,,"",,"","",,,"","","","","","","",,,"","","","","","","",,,"","","",,,"","","","",,,"",,,"","","",,,"",""
16411629,"10.1007/BF02351030",1,"Consider","Suppression of the cardiac electric field artifact from the heart action evoked potential","Pérez JJ, Guijarro E, Barcia JA","Med Biol Eng Comput.",2005,0,11,1,"EEG",4,"standard61","Fpz, C5, C6, Oz",15,5,"Multiple leads","Right wrist, Left wrist, Left leg, Sternum, Upper back","unknown","Cz","Cz","0.1","35",0,0,"",,"","","subtract/regress ECG from EEG","","Fpz, Oz",1,1,"[est758]","Primary","R-peak",-100,700,"unknown","unknown","Correlation","Amplitude",1,0,"Correlation",0,,"unknown","","",,,"ECG","est number of trials = 8348 for all participants / 11 participants"
16411629,"10.1007/BF02351030",,"","Suppression of the cardiac electric field artifact from the heart action evoked potential","Pérez JJ, Guijarro E, Barcia JA","Med Biol Eng Comput.",2005,0,11,1,"EEG",4,"standard61","Fpz, C5, C6, Oz",15,5,"Multiple leads","Right wrist, Left wrist, Left leg, Sternum, Upper back","unknown","Cz","Cz","0.1","35",0,0,"",,"","","subtract/regress ECG from EEG","","C5, C6",1,1,"[est758]","Primary","R-peak",-100,700,"unknown","unknown","Correlation","Amplitude",1,0,"Correlation",0,,"unknown","","",,,"ECG","est number of trials = 8348 for all participants / 11 participants"
,"",0,"Conference abstract","The presence of visceral evoked potentials elicited by cutaneous palpation of heartbeats in high and low awareness subjects.","Jones, G.E., Rouse, C.H. and Jones, K.R.","Psychophysiology",1988,,,,"",,"","",,,"","","","","","","",,,"","","","","","","",,,"","","",,,"","","","",,,"",,,"","","",,,"",""
38582905,"10.1038/s41467-024-46921-5",1,"Consider","Timing along the cardiac cycle modulates neural signals of reward-based learning","Fouragnan EF, Hosking B, Cheung Y, Prakash B, Rushworth M, Sel A","Nat Commun. 2024 Apr 6;15(1):2976",2024,0,32,0,"EEG",62,"standard61","Fp1, Fpz, Fp2, AF7, AF3, AF4, AF8, F7, F5, F3, F1, Fz, F2, F4, F6, F8, FT7, FC5, FC3, FC1, FCz, FC2, FC4, FC6, FT8, T7, C5, C3, C1, Cz, C2, C4, C6, T8, TP9, TP7, CP5, CP3, CP1, CPz, CP2, CP4, CP6, TP8, TP10, P7, P5, P3, P1, Pz, P2, P4, P6, P8, PO7, PO3, POz, PO4, PO8, O1, Oz, O2",,1,"Unclassified","Left chest","unknown","Right mastoid","Common average","0.5","40",1,1,"Blinks, CFA, Eye movements",,"Manual","Topography, Time course","","Noisy Epochs, Manual removal of artifacts","All",1,1,"480","Primary","R-peak",100,500,"-150","-50","Group/Condition Differences","Amplitude",0,0,"t-test",1,5000,"1","F1, Fz, F2, FC1, FCz, FC2, C1, Cz, C2, CP1, CPz, CP2","R-peak",100,500,"",""
